Type,No.,Standard Price Including VAT,Offer Price Including VAT
Item,11-712,325.00,227.00
Item,18-952,255.00,179.00
Item,26-1073,545.00,395.00
Item,11-715,32.00,14.00
Item,18-954,225.00,125.00
Item,26-470,820.00,595.00
Item,11-716,85.00,35.00
Item,22-4427,210.00,99.00
Item,26-1072,545.00,495.00
Item,11-717,245.00,129.00
Item,26-381,"1,030.00",595.00
Item,26-645,545.00,436.00
Item,26-1411,"1,035.00",540.00
Item,26-1477,875.00,695.00
Item,11-725,127.00,50.00
Item,26-139,"1,250.00",995.00
Item,26-202,435.00,250.00
Item,11-729,445.00,195.00
Item,26-1325,"2,975.00","1,695.00"
Item,26-83,435.00,195.00
Item,11-736,665.00,232.00
Item,26-1473,"1,650.00",895.00
Item,26-402,485.00,395.00
Item,11-737,248.00,199.00
Item,26-173,"1,030.00",880.00
Item,26-1152,525.00,395.00
Item,11-738,29.00,20.00
Item,26-443,"1,030.00",924.00
Item,26-1499,950.00,795.00
Item,11-739,65.00,47.00
Item,26-1087,"1,760.00","1,399.00"
Item,11-740,115.00,57.00
Item,26-1275,545.00,295.00
Item,11-743,115.00,40.00
Item,11-744,115.00,46.00
Item,11-754,68.00,39.00
Item,11-756,265.00,92.00
Item,11-759,128.00,100.00
Item,26-385,595.00,295.00
Item,11-762,245.00,179.00
Item,26-156,217.00,195.00
Item,26-1274,545.00,295.00
Item,11-764,195.00,159.00
Item,26-80,217.00,195.00
Item,11-765,38.00,19.00
Item,11-771,48.00,38.00
Item,11-773,278.00,195.00
Item,26-305,217.00,195.00
Item,1-178,"1,265.00",442.00
Item,26-540,600.00,395.00
Item,1-179,"1,495.00",523.00
Item,26-581,261.00,250.00
Item,1-180,"2,530.00",886.00
Item,11-800,125.00,49.00
Item,11-805,59.00,47.00
Item,26-198,217.00,195.00
Item,11-814,118.00,69.00
Item,26-87,217.00,175.00
Item,11-815,158.00,75.00
Item,26-1290,585.00,526.00
Item,11-825,38.00,23.00
Item,26-74,485.00,395.00
Item,11-828,72.00,39.00
Item,26-960,540.00,295.00
Item,11-829,86.00,45.00
Item,26-967,545.00,395.00
Item,11-830,95.00,47.00
Item,26-538,480.00,295.00
Item,11-833,85.00,61.00
Item,26-466,450.00,250.00
Item,11-846,48.00,39.00
Item,1-185,"1,250.00",438.00
Item,1-187,"1,900.00",999.00
Item,26-84,217.00,195.00
Item,1-195,145.00,58.00
Item,26-376,820.00,375.00
Item,1-197,"1,950.00","1,199.00"
Item,26-1385,995.00,565.00
Item,1-203,"1,950.00",999.00
Item,26-86,217.00,195.00
Item,1-210,205.00,71.00
Item,12-104,15.00,4.00
Item,26-95,485.00,395.00
Item,12-105,82.00,18.00
Item,26-1386,595.00,395.00
Item,12-107,35.00,11.00
Item,12-110,25.00,8.00
Item,26-374,435.00,245.00
Item,12-111,12.00,3.00
Item,1-214,"2,950.00",999.00
Item,26-206,217.00,195.00
Item,26-223,217.00,195.00
Item,1-229,"2,350.00",999.00
Item,1-236,"2,650.00","1,950.00"
Item,26-96,217.00,195.00
Item,12-47,30.00,11.00
Item,12-68,17.00,5.00
Item,26-155,217.00,46.00
Item,12-69,20.00,4.00
Item,26-148,420.00,147.00
Item,12-84,22.00,6.00
Item,26-829,"2,795.00","1,695.00"
Item,13-40,25.00,9.00
Item,26-1324,"1,350.00",675.00
Item,13-45,35.00,8.00
Item,26-131,410.00,299.00
Item,26-1056,"2,295.00","1,695.00"
Item,26-1285,"2,375.00","1,695.00"
Item,13-51,95.00,38.00
Item,26-319,545.00,395.00
Item,13-52,12.00,10.00
Item,26-318,545.00,325.00
Item,13-53,95.00,38.00
Item,26-226,217.00,195.00
Item,14-67,6.00,1.00
Item,26-759,720.00,648.00
Item,14-68,6.00,1.00
Item,26-1208,365.00,295.00
Item,14-69,6.00,2.00
Item,26-1022,425.00,395.00
Item,14-72,35.00,11.00
Item,26-709,175.00,95.00
Item,14-75,7.00,2.00
Item,26-1398,950.00,695.00
Item,14-76,6.00,2.00
Item,26-1150,"2,450.00","1,595.00"
