SKU,Part#,DESC EN,img links
11-526,31111000000435,TORCH LIGHT SMALL-T6,https://alrimaya.com/image/catalog/product-11-12-13-14/11-526%20(6).png
11-527,31111000000436,FLASH LIGHT,https://alrimaya.com/image/catalog/11-12-13-14/11-527-(1).png
11-528,31111000000437,CAMPING LED LIGHT,https://alrimaya.com/image/catalog/product-11-12-13-14/11-528%20(3).png
11-529,31111000000438,CAMPING LED LIGHT,https://alrimaya.com/image/catalog/product-11-12-13-14/11-529%20(1).png
11-530,31111000000439,FLASHLIGHT 330 Lumen - 3 W,https://alrimaya.com/image/catalog/product-11-12-13-14/11-530%20(4).png
11-531,31111000000440,330 lum RECHARGEABLE FlashLight + AC/DC CHARGER,https://alrimaya.com/image/catalog/product-11-12-13-14/11-531%20(6).png
11-532,31111000000441,25 W HANDHELD SPOTLIGHT WITH 12V CIGAR PLUG,https://i.ibb.co/QFXtVcT/11-532-Large.jpg
11-534,31111000000443,FLASH LIGHT,https://alrimaya.com/image/catalog/11-12-13-14/11-534-(5).png
11-535,31111000000444,HEAD LIGHT GOLD OUTPUT USB  ROUND,https://alrimaya.com/image/catalog/11-12-13-14/11-535-(23.png
11-536,31111000000445,HEAD LIGHT GOLD OUTPUT USB  SQUARE,https://alrimaya.com/image/cache/catalog/product-11-12-13-14/11-536%20(2)-800x800.png
11-537,31111000000446,CAMPING LED LIGHT,https://alrimaya.com/image/catalog/product-11-12-13-14/11-537%20(3).png
11-539,31111000000448,5W LED 5M,https://alrimaya.com/image/catalog/product/2521/11-539%20(2)-min-2521-thumb.jpg
11-541,31111000000450,CAMPING LED LIGHT,https://alrimaya.com/image/catalog/product-11-12-13-14/11-541%20(3).png
11-542,31111000000451,CAMPING LED LIGHT,https://alrimaya.com/image/catalog/product-11-12-13-14/11-542%20(1).png
11-544,31111000000453,MINI TORCH LIGHT,https://alrimaya.com/image/catalog/product-11-12-13-14/11-544%20(4).png
11-546,31111000000455,HEAD LIGHT WITH POWER BANK,https://alrimaya.com/image/catalog/11-12-13-14/11-546-(2).png
11-547,31111000000456,FLASH LIGHT WITH BATTERY & CHARGER,https://alrimaya.com/image/catalog/11-12-13-14/11-547-(7).png
11-549,31111000000458,DC 12V LIGHT (12W),https://alrimaya.com/image/catalog/product-11-12-13-14/11-549%20(3).png
1-155,31101000000125,AIR RIFLE BT65 SB FIBER CAL 5.5,https://alrimaya.com/image/catalog/product/3055/1-155-(5)-min-3055-thumb.jpg
11-550,31111000000459,DC 12V LIGHT (16W),https://alrimaya.com/image/catalog/product-11-12-13-14/11-550%20(3).png
11-551,31111000000460,15W LED Rechargeable Light Magnetic base,https://alrimaya.com/image/catalog/product-11-12-13-14/11-551%20(1).png
11-553,31111000000462,10W Emergency light with alligator clip,https://alrimaya.com/image/catalog/product-11-12-13-14/11-553%20(2).png
11-554,31111000000463,"cree led 25w rechargeable spotlight  AC,DC charger",https://alrimaya.com/image/catalog/product-11-12-13-14/11-554%20(2).png
11-557,31111000000466,120W LED LIGHT BAR,https://i.ibb.co/dcnKtD5/11-557.jpg
1-156,31101000000126,AIR RIFLE BT65 SB  WOOD CAL 5.5,https://alrimaya.com/image/catalog/product/1544/1-156-1-149-(2)-1544-thumb.jpg
11-560,31111000000469,LED HAND LIGHT RECHARGER USB,https://alrimaya.com/image/catalog/product/1184/11-560-(2)-1184-thumb.jpg
11-561,31111000000470,LED HAND LIGHT RECHARGER,https://alrimaya.com/image/catalog/product/1463/11-561-1000-(5)-1463-thumb.jpg
11-562,31111000000471,12V LED WORKING LIGHT,https://alrimaya.com/image/catalog/product-11-12-13-14/11-562%20(3).png
11-563,31111000000472,"LED MAP LIGHT,WHITE COLOR",https://alrimaya.com/image/catalog/product-11-12-13-14/11-563%20(2).png
11-564,31111000000473,LED POWER BANK 3 WAY CHARGER,https://alrimaya.com/image/catalog/product-11-12-13-14/11-564%20(5).png
11-565,31111000000474,LED WORK LIGHT,https://alrimaya.com/image/catalog/product/1383/11-565-(2)-1383-thumb.jpg
11-566,31111000000475,AAA -TORCH LIGHT W-MAGANTIC,https://i.postimg.cc/6qjQrP5v/11-566-1.jpg
11-567,31111000000476,AAA-UV LIGHT 51 LED,https://alrimaya.com/image/catalog/product-11-12-13-14/11-567%20(2).png
11-568,31111000000477,AAA-UV LIGHT 21 LED,https://alrimaya.com/image/catalog/product-11-12-13-14/11-568%20(3).png
